"UserId","verb_id","verb","feature_raw"
"16ada1d593e-a13-faa1-a5bf-cd71",12,"slingeren","ongecontroleerd"
"16ada1d593e-a13-faa1-a5bf-cd71",12,"slingeren","niet in een rechte lijn bewegen"
"16ada1d593e-a13-faa1-a5bf-cd71",12,"slingeren","auto's"
"16ada1d593e-a13-faa1-a5bf-cd71",12,"slingeren","liaan"
"16ada1d593e-a13-faa1-a5bf-cd71",12,"slingeren","apen"
"16ada1d593e-a13-faa1-a5bf-cd71",13,"sluipen","niet hoorbaar willen zijn"
"16ada1d593e-a13-faa1-a5bf-cd71",13,"sluipen","onhoorbaar bewegen"
"16ada1d593e-a13-faa1-a5bf-cd71",13,"sluipen","op verboden plaats zijn"
"16ada1d593e-a13-faa1-a5bf-cd71",13,"sluipen","bedachtzaam bewegen"
"16ada1d593e-a13-faa1-a5bf-cd71",13,"sluipen","uitkijken"
"16ada1d593e-a13-faa1-a5bf-cd71",6,"hardlopen","actief"
"16ada1d593e-a13-faa1-a5bf-cd71",6,"hardlopen","sporten"
"16ada1d593e-a13-faa1-a5bf-cd71",6,"hardlopen","wedstrijden"
"16ada1d593e-a13-faa1-a5bf-cd71",6,"hardlopen","marathon"
"16ada1d593e-a13-faa1-a5bf-cd71",6,"hardlopen","hardloopschoenen"
"16ada1d593e-a13-faa1-a5bf-cd71",6,"hardlopen","professioneel hardlopers"
"16ada1d593e-a13-faa1-a5bf-cd71",6,"hardlopen","hoog tempo"
"16ada1d593e-a13-faa1-a5bf-cd71",15,"walsen","iets platter maken"
"16ada1d593e-a13-faa1-a5bf-cd71",15,"walsen","kracht"
"16ada1d593e-a13-faa1-a5bf-cd71",15,"walsen","klassieke dansstijl"
"16ada1d593e-a13-faa1-a5bf-cd71",15,"walsen","stel"
"16ada1d593e-a13-faa1-a5bf-cd71",15,"walsen","over iemand heen lopen"
"16ada1d593e-a13-faa1-a5bf-cd71",20,"kloppen","tegen een deur"
"16ada1d593e-a13-faa1-a5bf-cd71",20,"kloppen","van beslag"
"16ada1d593e-a13-faa1-a5bf-cd71",20,"kloppen","luchtig maken"
"16ada1d593e-a13-faa1-a5bf-cd71",20,"kloppen","eieren"
"16ada1d593e-a13-faa1-a5bf-cd71",20,"kloppen","binnengelaten willen worden"
