UserId,EventTag,TagValue1,TagValue2,EventMs,TagDate
16ac0f6cdec-9c79-97e0-bcaf-29fe,StimulusPresentationTime,negation1,logTimeStamp,56650,2019-05-16 16:31:46.013
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText,negation1," aery aery eray aery aery aery eary",59174,2019-05-16 16:31:48.537
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText_ms,negation1,"118,290,293,296,331,534,644,647,650,686,828,937,940,978,981,1137,1234,1237,1275,1278,1450,1551,1554,1557,1560,1723,1867,1870,1873,1876,2085,2224,2261,2264,2267",59175,2019-05-16 16:31:48.538
16ac0f6cdec-9c79-97e0-bcaf-29fe,StimulusPresentationTime,negation9,logTimeStamp,59177,2019-05-16 16:31:48.54
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText_ms,negation9,"90,136,139,175,340,490,494,497,531,721,819,823,858,861,1033,1136,1138,1175,1178,1343,1491,1494,1530,1533,1707,1809,1847,1850,1888,2024,2170,2172,2176,2212,2392,2497,2535,2537,2576,2696",62022,2019-05-16 16:31:51.385
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText,negation9,"aery aery aery eyar aery aery aery aery ",62022,2019-05-16 16:31:51.385
16ac0f6cdec-9c79-97e0-bcaf-29fe,StimulusPresentationTime,negation15,logTimeStamp,62026,2019-05-16 16:31:51.389
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText_ms,negation15,"43,45,48,121,255,397,401,404,406,565,715,718,755,759,931,1030,1032,1035,1039,1251,1355,1393,1396,1432,1615,1709,1711,1714,1750,1930,2027,2029,2066,2069,2283,2426,2429,2432,2435",64721,2019-05-16 16:31:54.084
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText,negation15,aery aery aery aery eary erya eray aery,64721,2019-05-16 16:31:54.084
16ac0f6cdec-9c79-97e0-bcaf-29fe,StimulusPresentationTime,negation11,logTimeStamp,64724,2019-05-16 16:31:54.087
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText,negation11,aery eary aery aery aery aery aery aery aery aer,68204,2019-05-16 16:31:57.567
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText_ms,negation11,"89,92,95,98,298,408,445,448,451,668,802,805,808,843,1058,1165,1169,1203,1242,1445,1557,1559,1563,1596,1806,1949,1952,1955,1990,2165,2269,2272,2307,2347,2478,2585,2623,2627,2665,2836,2942,2979,2982,3058,3190,3295,3298,3337",68204,2019-05-16 16:31:57.567
16ac0f6cdec-9c79-97e0-bcaf-29fe,StimulusPresentationTime,negation5,logTimeStamp,68207,2019-05-16 16:31:57.57
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText,negation5," aery aery aery aery aery aery aery aery",71403,2019-05-16 16:32:00.766
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText_ms,negation5,"17,129,167,170,246,380,521,524,528,602,731,839,842,879,957,1053,1159,1195,1234,1311,1471,1588,1626,1665,1742,1907,2019,2058,2096,2137,2264,2377,2415,2454,2494,2657,2770,2808,2847,2885",71404,2019-05-16 16:32:00.767
16ac0f6cdec-9c79-97e0-bcaf-29fe,StimulusPresentationTime,negation16,logTimeStamp,71406,2019-05-16 16:32:00.769
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText,negation16,"aery aery aery aery aery eary , ik vind dat ik als ik zo test het wel beter doe dan als dat niet en verder is het tyopen van woorden niet heel moeilijk als je niet na hoeft te denken over wat je tyypt dan gaat ghet echt wel snel maar ik weet niet of ik duizend per minuut ga halen dat is eigenlijkb ijna niet te doen maar dit gaat we l sn eller dan het overtypen van een tekst zeker als het oke is als je wat fouten maakt wat hier dan zeker wel het geval zal zijn en ik denk nu dat het in ieder geval wel over 250i s wat hier eigenlijk het criterium is om even lekker te testen of alles wel werkt jalalalallawefllaweffawefaweffa",190094,2019-05-16 16:33:59.457
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText_ms,negation16,"2,78,81,158,330,433,472,510,559,747,848,850,886,963,1124,1241,1279,1318,1396,1586,1655,1704,1707,1778,1913,2017,2062,2065,2069,2232,2304,2306,2344,2347,2585,2588,2591,2593,2627,2634,2671,2712,2715,2758,2761,2919,2922,2925,2928,2931,3016,3053,3130,3167,3171,3179,3210,3260,3263,3344,3415,3454,3492,3494,3498,3546,3584,3594,3677,3754,3792,3795,3798,3834,3873,3970,4018,4048,4086,4088,4129,4132,4197,4201,4233,4438,4441,4477,4553,4790,4793,4796,4871,5070,5073,5077,5186,52637,52772,52889,53045,53127,53239,53284,53367,53486,53568,53718,53874,53912,54002,54378,54570,54614,54764,54848,54999,55043,55155,55309,55467,55656,55732,55851,56462,56621,56772,56811,56849,56970,57048,57124,57169,57323,57360,57484,57596,57978,58132,58208,58365,58404,58496,58609,58692,58803,58886,58998,59116,59192,59277,59428,59510,59621,59704,59932,60085,60123,60212,60322,60397,60476,60517,60603,60715,60870,60948,61025,61258,61451,61642,61797,61835,61879,61994,62129,62132,62218,62297,62375,62420,62572,62655,62767,62770,62887,63005,63122,63199,63353,63356,63483,63566,63682,63799,63837,64032,64188,64192,64272,64402,64442,64481,64561,64607,64722,64760,64924,64962,65070,65100,65178,65336,65419,65530,65606,65645,65815,65894,65990,66066,66185,66268,66343,66459,66542,66654,66733,66771,66810,66897,67049,67317,67514,67665,67780,67857,67935,68091,68174,68326,68482,68562,68675,68867,68871,68967,69076,69159,69255,69368,69484,69640,69679,69723,69875,70031,70077,70116,70196,70314,70398,70623,70626,70709,70897,71166,71396,71552,71918,72071,72109,72194,72345,72461,72654,72692,72730,72813,72816,72935,72972,73010,73208,73361,73444,73558,73596,73714,73790,73898,73976,74089,74210,74322,74367,74479,74527,74606,74779,74855,74975,75053,75209,75291,75363,75442,75637,75675,75713,75832,75910,75949,76001,76092,76162,76239,76343,76531,76685,76769,76844,76926,77039,77154,77275,77370,77521,77599,77718,77834,77909,77994,78107,78299,78417,78581,78736,78815,78897,79009,79125,79202,79322,79437,79520,79632,79715,79828,79906,80061,80099,80197,80267,80384,80460,80579,80655,80774,80890,80893,80974,81062,81100,81221,81318,81321,81437,81555,81710,81874,81957,82069,82151,82186,82264,82351,82462,82617,82694,82812,82850,82975,83052,83138,83209,83288,83483,83521,83559,83681,83770,83883,83920,84078,84193,84386,84425,84469,84584,84660,84739,84820,85012,85168,85287,85290,85403,85479,85636,85753,85908,86029,86178,86297,86345,86473,86581,86670,86709,86833,86945,87099,87215,87291,87448,87497,87655,87771,87853,87932,88004,88123,88161,88251,88319,88478,88515,88594,88651,88809,88963,89080,89118,89201,89506,89626,89698,89817,89894,89932,90092,90167,90326,90364,90482,90559,90637,90727,90835,90990,91144,91226,91338,91493,91532,91688,91727,91883,91966,92041,92158,92241,92543,92700,92775,92845,93031,93113,93184,93341,93503,93585,93774,93852,93928,94086,94168,94240,94325,94475,94631,94669,94707,94874,94957,95029,95069,95155,95268,95425,95460,95523,95676,95793,95915,96026,96103,96181,96300,96378,96505,96579,96694,96772,96850,96953,97104,97259,97343,97499,97537,97623,97773,97965,98041,98174,98481,98565,98599,98756,98873,98989,99112,99195,99307,99463,99501,99635,99793,99831,99916,100029,100104,100223,100340,100419,100574,100612,100693,100884,101001,101039,101122,101274,101468,101621,101738,101817,102009,102126,102164,102202,102371,102494,102610,102764,102802,102887,103039,103159,103276,103355,103543,103581,103775,103813,103900,104049,104171,104288,104487,104490,104645,104729,104878,105032,105108,105200,105365,105492,105620,105623,105742,105972,106055,106242,106396,106479,106554,106592,106669,106789,106905,106987,107066,107106,107228,107342,107535,107613,107729,107960,108113,108229,108385,108577,108693,108772,108890,108973,109161,109352,109470,109547,109702,109856,109894,109980,110054,110172,110293,110443,110520,110559,110645,110756,110928,110931,111314,111736,111891,112045,112084,112240,112323,112474,112590,112708,112785,112978,113054,113212,113288,113445,113483,113678,113754,113836,113955,114072,114149,114231,114319,114469,114552,114741,114971,115714,115832,115949,116068,116184,116341,116381,116572,116576,116731,116768,116771,116807,116885,116889,117051,117086,117089,117092,117095,117209,117370,117374,117410,117448,117646,117649,117652,117663,117885,117924",190095,2019-05-16 16:33:59.458
16ac0f6cdec-9c79-97e0-bcaf-29fe,StimulusPresentationTime,negation3,logTimeStamp,190099,2019-05-16 16:33:59.462
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText,negation3,weafawef,191598,2019-05-16 16:34:00.961
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText_ms,negation3,"1103,1105,1142,1146,1339,1342,1345,1348",191598,2019-05-16 16:34:00.961
16ac0f6cdec-9c79-97e0-bcaf-29fe,StimulusPresentationTime,negation12,logTimeStamp,191600,2019-05-16 16:34:00.963
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText,negation12,awefawefawef,192435,2019-05-16 16:34:01.798
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText_ms,negation12,"193,198,200,203,477,480,483,486,684,687,694,697",192435,2019-05-16 16:34:01.798
16ac0f6cdec-9c79-97e0-bcaf-29fe,StimulusPresentationTime,negation8,logTimeStamp,192437,2019-05-16 16:34:01.8
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText,negation8,awef,192834,2019-05-16 16:34:02.197
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText_ms,negation8,"123,126,128,132",192835,2019-05-16 16:34:02.198
16ac0f6cdec-9c79-97e0-bcaf-29fe,StimulusPresentationTime,negation10,logTimeStamp,192838,2019-05-16 16:34:02.201
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText_ms,negation10,"204,207,210,213",193272,2019-05-16 16:34:02.635
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText,negation10,awef,193272,2019-05-16 16:34:02.635
16ac0f6cdec-9c79-97e0-bcaf-29fe,StimulusPresentationTime,negation14,logTimeStamp,193275,2019-05-16 16:34:02.638
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText,negation14,awef,193506,2019-05-16 16:34:02.869
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText_ms,negation14,"42,45,48,51",193506,2019-05-16 16:34:02.869
16ac0f6cdec-9c79-97e0-bcaf-29fe,StimulusPresentationTime,negation6,logTimeStamp,193509,2019-05-16 16:34:02.872
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText,negation6,awef,193935,2019-05-16 16:34:03.298
16ac0f6cdec-9c79-97e0-bcaf-29fe,freeText_ms,negation6,"169,208,209,212",193936,2019-05-16 16:34:03.299
16ac0f6cdec-9c79-97e0-bcaf-29fe,StimulusPresentationTime,feature16,logTimeStamp,6,2019-05-16 16:34:04.916
